Time(ms),PCElapsed(ms),ADC,Voltage(V)
7788544,2157.000,657,0.706
7788549,2172.000,657,0.706
7788554,2172.000,657,0.706
7788559,2172.000,656,0.705
7788564,2219.000,657,0.706
7788569,2219.000,657,0.706
7788574,2219.000,656,0.705
7788579,2219.000,657,0.706
7788584,2219.000,656,0.705
7788589,2219.000,657,0.706
7788594,2219.000,657,0.706
7788599,2219.000,656,0.705
7788604,2219.000,657,0.706
7788609,2235.000,657,0.706
7788614,2235.000,657,0.706
7788619,2235.000,657,0.706
7788624,2250.000,657,0.706
7788630,2250.000,658,0.708
7788635,2250.000,658,0.708
7788640,2266.000,658,0.708
7788645,2266.000,658,0.708
7788650,2266.000,658,0.708
7788655,2282.000,658,0.708
7788660,2282.000,658,0.708
7788665,2282.000,658,0.708
7788670,2297.000,658,0.708
7788675,2297.000,658,0.708
7788680,2297.000,658,0.708
7788685,2297.000,657,0.706
7788690,2313.000,658,0.708
7788695,2313.000,658,0.708
7788700,2313.000,658,0.708
7788705,2328.000,658,0.708
7788710,2360.000,658,0.708
7788715,2360.000,658,0.708
7788720,2360.000,658,0.708
7788725,2360.000,658,0.708
7788730,2360.000,659,0.709
7788735,2360.000,660,0.710
7788740,2360.000,659,0.709
7788745,2360.000,659,0.709
7788750,2375.000,659,0.709
7788755,2375.000,659,0.709
7788760,2375.000,659,0.709
7788765,2391.000,659,0.709
7788770,2391.000,659,0.709
7788775,2391.000,659,0.709
7788780,2407.000,659,0.709
7788785,2407.000,659,0.709
7788790,2407.000,659,0.709
7788795,2422.000,659,0.709
7788800,2422.000,659,0.709
7788805,2422.000,659,0.709
7788810,2422.000,659,0.709
7788815,2438.000,659,0.709
7788820,2438.000,659,0.709
7788825,2438.000,659,0.709
7788830,2453.000,660,0.710
7788835,2453.000,660,0.710
7788840,2453.000,660,0.710
7788845,2469.000,661,0.711
7788850,2500.000,660,0.710
7788855,2500.000,661,0.711
7788860,2500.000,660,0.710
7788865,2500.000,661,0.711
7788870,2500.000,661,0.711
7788875,2500.000,660,0.710
7788880,2500.000,660,0.710
7788886,2500.000,661,0.711
7788891,2516.000,661,0.711
7788896,2516.000,661,0.711
7788901,2516.000,660,0.710
7788906,2532.000,661,0.711
7788911,2532.000,660,0.710
7788916,2532.000,660,0.710
7788921,2547.000,660,0.710
7788926,2547.000,660,0.710
7788931,2547.000,662,0.712
7788936,2563.000,662,0.712
7788941,2563.000,662,0.712
7788946,2563.000,662,0.712
7788951,2578.000,662,0.712
7788956,2578.000,662,0.712
7788961,2578.000,662,0.712
7788966,2578.000,662,0.712
7788971,2594.000,662,0.712
7788976,2594.000,662,0.712
7788981,2625.000,662,0.712
7788986,2625.000,662,0.712
7788991,2625.000,662,0.712
7788996,2625.000,662,0.712
7789001,2625.000,662,0.712
7789006,2625.000,662,0.712
7789011,2625.000,662,0.712
7789016,2641.000,662,0.712
7789021,2641.000,662,0.712
7789026,2641.000,662,0.712
7789031,2657.000,661,0.711
7789036,2657.000,663,0.713
7789041,2657.000,663,0.713
7789046,2672.000,663,0.713
7789051,2672.000,663,0.713
7789056,2672.000,663,0.713
7789061,2688.000,663,0.713
7789066,2688.000,663,0.713
7789071,2688.000,663,0.713
7789076,2703.000,663,0.713
7789081,2703.000,663,0.713
7789086,2703.000,663,0.713
7789091,2719.000,663,0.713
7789096,2719.000,663,0.713
7789101,2719.000,663,0.713
7789106,2750.000,663,0.713
7789111,2750.000,663,0.713
7789116,2750.000,663,0.713
7789121,2750.000,664,0.714
7789126,2750.000,663,0.713
7789131,2750.000,663,0.713
7789136,2750.000,664,0.714
