Time(ms),PCElapsed(ms),ADC,Voltage(V)
274703,1844.000,810,0.871
274708,1860.000,810,0.871
274713,1860.000,810,0.871
274718,1860.000,810,0.871
274723,1875.000,810,0.871
274728,1875.000,810,0.871
274733,1875.000,810,0.871
274738,1891.000,811,0.872
274743,1891.000,810,0.871
274748,1891.000,810,0.871
274753,1906.000,810,0.871
274758,1906.000,810,0.871
274763,1906.000,810,0.871
274768,1922.000,810,0.871
274774,1922.000,809,0.870
274779,1922.000,810,0.871
274784,1938.000,810,0.871
274789,1938.000,810,0.871
274794,1938.000,810,0.871
274799,1953.000,810,0.871
274804,1953.000,811,0.872
274809,1953.000,811,0.872
274814,1969.000,811,0.872
274819,1969.000,811,0.872
274824,1969.000,811,0.872
274829,1969.000,810,0.871
274834,1985.000,810,0.871
274839,1985.000,811,0.872
274844,1985.000,811,0.872
274849,2000.000,811,0.872
274854,2000.000,811,0.872
274859,2000.000,811,0.872
274864,2016.000,810,0.871
274869,2016.000,810,0.871
274874,2016.000,810,0.871
274879,2031.000,811,0.872
274884,2031.000,811,0.872
274889,2031.000,810,0.871
274894,2047.000,810,0.871
274899,2047.000,810,0.871
274904,2047.000,811,0.872
274909,2063.000,811,0.872
274914,2063.000,811,0.872
274919,2063.000,811,0.872
274924,2078.000,811,0.872
274929,2078.000,811,0.872
274934,2078.000,811,0.872
274939,2094.000,811,0.872
274944,2094.000,811,0.872
274949,2094.000,811,0.872
274954,2110.000,811,0.872
274959,2110.000,811,0.872
274964,2110.000,811,0.872
274969,2110.000,811,0.872
274974,2125.000,811,0.872
274979,2125.000,811,0.872
274984,2141.000,811,0.872
274989,2141.000,811,0.872
274994,2141.000,811,0.872
274999,2141.000,811,0.872
275004,2156.000,811,0.872
275009,2156.000,811,0.872
275014,2156.000,812,0.873
275019,2172.000,811,0.872
275024,2172.000,812,0.873
275030,2172.000,811,0.872
275035,2188.000,811,0.872
275040,2188.000,811,0.872
275045,2188.000,811,0.872
275050,2203.000,811,0.872
275055,2203.000,812,0.873
275060,2203.000,812,0.873
275065,2219.000,812,0.873
275070,2219.000,811,0.872
275075,2219.000,811,0.872
275080,2235.000,812,0.873
275085,2235.000,811,0.872
275090,2235.000,811,0.872
275095,2250.000,812,0.873
275100,2250.000,812,0.873
275105,2250.000,811,0.872
275110,2266.000,812,0.873
275115,2266.000,812,0.873
275120,2266.000,812,0.873
275125,2281.000,812,0.873
275130,2281.000,812,0.873
275135,2281.000,812,0.873
275140,2297.000,812,0.873
275145,2297.000,812,0.873
275150,2297.000,812,0.873
275155,2297.000,812,0.873
275160,2313.000,812,0.873
275165,2313.000,812,0.873
275170,2313.000,812,0.873
275175,2328.000,812,0.873
275180,2328.000,812,0.873
275185,2328.000,812,0.873
275190,2344.000,812,0.873
275195,2344.000,812,0.873
275200,2344.000,812,0.873
275205,2360.000,812,0.873
275210,2360.000,813,0.874
275215,2360.000,812,0.873
275220,2375.000,812,0.873
275225,2375.000,813,0.874
275230,2375.000,812,0.873
275235,2391.000,813,0.874
275240,2391.000,813,0.874
275245,2391.000,812,0.873
275250,2406.000,812,0.873
275255,2406.000,812,0.873
275260,2406.000,813,0.874
275265,2422.000,812,0.873
275270,2422.000,813,0.874
275275,2422.000,813,0.874
275280,2438.000,812,0.873
275286,2438.000,813,0.874
275291,2438.000,812,0.873
275296,2438.000,812,0.873
275301,2453.000,812,0.873
275306,2453.000,812,0.873
275311,2453.000,813,0.874
275316,2469.000,813,0.874
275321,2469.000,813,0.874
275326,2469.000,813,0.874
